; 2; 3; 5; 7; 11; 13; 17; 19; 23; 29; 31; 37; 41; 43; 47; 53; 59; 61; 67; 71; 73; 79; 83; 89; 97
2; (1, 0); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2); (0, 2)
3; (1, 1); (1, 0); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3); (0, 3)
5; (2, 1); (1, 2); (1, 0); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5); (0, 5)
7; (3, 1); (2, 1); (1, 2); (1, 0); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7); (0, 7)
11; (5, 1); (3, 2); (2, 1); (1, 4); (1, 0); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11); (0, 11)
13; (6, 1); (4, 1); (2, 3); (1, 6); (1, 2); (1, 0); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13); (0, 13)
17; (8, 1); (5, 2); (3, 2); (2, 3); (1, 6); (1, 4); (1, 0); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17); (0, 17)
19; (9, 1); (6, 1); (3, 4); (2, 5); (1, 8); (1, 6); (1, 2); (1, 0); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19); (0, 19)
23; (11, 1); (7, 2); (4, 3); (3, 2); (2, 1); (1, 10); (1, 6); (1, 4); (1, 0); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23); (0, 23)
29; (14, 1); (9, 2); (5, 4); (4, 1); (2, 7); (2, 3); (1, 12); (1, 10); (1, 6); (1, 0); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29); (0, 29)
31; (15, 1); (10, 1); (6, 1); (4, 3); (2, 9); (2, 5); (1, 14); (1, 12); (1, 8); (1, 2); (1, 0); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31); (0, 31)
37; (18, 1); (12, 1); (7, 2); (5, 2); (3, 4); (2, 11); (2, 3); (1, 18); (1, 14); (1, 8); (1, 6); (1, 0); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37); (0, 37)
41; (20, 1); (13, 2); (8, 1); (5, 6); (3, 8); (3, 2); (2, 7); (2, 3); (1, 18); (1, 12); (1, 10); (1, 4); (1, 0); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41); (0, 41)
43; (21, 1); (14, 1); (8, 3); (6, 1); (3, 10); (3, 4); (2, 9); (2, 5); (1, 20); (1, 14); (1, 12); (1, 6); (1, 2); (1, 0); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43); (0, 43)
47; (23, 1); (15, 2); (9, 2); (6, 5); (4, 3); (3, 8); (2, 13); (2, 9); (2, 1); (1, 18); (1, 16); (1, 10); (1, 6); (1, 4); (1, 0); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47); (0, 47)
53; (26, 1); (17, 2); (10, 3); (7, 4); (4, 9); (4, 1); (3, 2); (2, 15); (2, 7); (1, 24); (1, 22); (1, 16); (1, 12); (1, 10); (1, 6); (1, 0); (0, 53); (0, 53); (0, 53); (0, 53); (0, 53); (0, 53); (0, 53); (0, 53); (0, 53)
59; (29, 1); (19, 2); (11, 4); (8, 3); (5, 4); (4, 7); (3, 8); (3, 2); (2, 13); (2, 1); (1, 28); (1, 22); (1, 18); (1, 16); (1, 12); (1, 6); (1, 0); (0, 59); (0, 59); (0, 59); (0, 59); (0, 59); (0, 59); (0, 59); (0, 59)
61; (30, 1); (20, 1); (12, 1); (8, 5); (5, 6); (4, 9); (3, 10); (3, 4); (2, 15); (2, 3); (1, 30); (1, 24); (1, 20); (1, 18); (1, 14); (1, 8); (1, 2); (1, 0); (0, 61); (0, 61); (0, 61); (0, 61); (0, 61); (0, 61); (0, 61)
67; (33, 1); (22, 1); (13, 2); (9, 4); (6, 1); (5, 2); (3, 16); (3, 10); (2, 21); (2, 9); (2, 5); (1, 30); (1, 26); (1, 24); (1, 20); (1, 14); (1, 8); (1, 6); (1, 0); (0, 67); (0, 67); (0, 67); (0, 67); (0, 67); (0, 67)
71; (35, 1); (23, 2); (14, 1); (10, 1); (6, 5); (5, 6); (4, 3); (3, 14); (3, 2); (2, 13); (2, 9); (1, 34); (1, 30); (1, 28); (1, 24); (1, 18); (1, 12); (1, 10); (1, 4); (1, 0); (0, 71); (0, 71); (0, 71); (0, 71); (0, 71)
73; (36, 1); (24, 1); (14, 3); (10, 3); (6, 7); (5, 8); (4, 5); (3, 16); (3, 4); (2, 15); (2, 11); (1, 36); (1, 32); (1, 30); (1, 26); (1, 20); (1, 14); (1, 12); (1, 6); (1, 2); (1, 0); (0, 73); (0, 73); (0, 73); (0, 73)
79; (39, 1); (26, 1); (15, 4); (11, 2); (7, 2); (6, 1); (4, 11); (4, 3); (3, 10); (2, 21); (2, 17); (2, 5); (1, 38); (1, 36); (1, 32); (1, 26); (1, 20); (1, 18); (1, 12); (1, 8); (1, 6); (1, 0); (0, 79); (0, 79); (0, 79)
83; (41, 1); (27, 2); (16, 3); (11, 6); (7, 6); (6, 5); (4, 15); (4, 7); (3, 14); (2, 25); (2, 21); (2, 9); (2, 1); (1, 40); (1, 36); (1, 30); (1, 24); (1, 22); (1, 16); (1, 12); (1, 10); (1, 4); (1, 0); (0, 83); (0, 83)
89; (44, 1); (29, 2); (17, 4); (12, 5); (8, 1); (6, 11); (5, 4); (4, 13); (3, 20); (3, 2); (2, 27); (2, 15); (2, 7); (2, 3); (1, 42); (1, 36); (1, 30); (1, 28); (1, 22); (1, 18); (1, 16); (1, 10); (1, 6); (1, 0); (0, 89)
97; (48, 1); (32, 1); (19, 2); (13, 6); (8, 9); (7, 6); (5, 12); (5, 2); (4, 5); (3, 10); (3, 4); (2, 23); (2, 15); (2, 11); (2, 3); (1, 44); (1, 38); (1, 36); (1, 30); (1, 26); (1, 24); (1, 18); (1, 14); (1, 8); (1, 0)
